EJP-RD v1.0 → HealthDCAT-AP Release 7 — audit mapping,,,,,,,,,,,,,,,
EJP source: https://github.com/ejp-rd-vp/resource-metadata-schema. R7 source: https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/.,,,,,,,,,,,,,,,
EJP-RD v1.0 — Source class (source: https://github.com/ejp-rd-vp/resource-metadata-schema),EJP-RD v1.0 — Source property / CURIE (source: schema docs; see per-class source URLs below),EJP-RD v1.0 — Property label,EJP-RD v1.0 — Cardinality in ShEx,EJP-RD v1.0 — Range in ShEx,HealthDCAT-AP R7 — Target class (source: https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/),HealthDCAT-AP R7 — Target property URI (source: https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/),HealthDCAT-AP R7 — Property label (source: https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/),HealthDCAT-AP R7 — Cardinality (source: https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/),HealthDCAT-AP R7 — Range (source: https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/),HealthDCAT-AP R7 — Vocabulary/NAL (source: https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/),Mapping type — decision rule in README,Constraint delta — factual comparison of source vs target,EJP implementation action,Priority,Notes / caveats
ejp:PatientRegistry,dct:title,Title,1,xsd:string,dcat:Dataset,http://purl.org/dc/terms/title,Dataset title,1..*,rdfs:Literal,—,SEMANTIC-TRANSFORM,EJP PatientRegistry is a domain resource; HealthDCAT's primary profile object is Dataset,Keep ejp:PatientRegistry as domain class; put HealthDCAT metadata on linked dcat:Dataset,P1,Patient registry itself is not replaced by dcat:Dataset; the dataset describing its data should be HealthDCAT-conformant.
ejp:PatientRegistry,ejp:populationCoverage,Population coverage,0..*,sio:SIO_001166,dcat:Dataset,http://healthdataportal.eu/ns/health#populationCoverage,Population coverage,0..*,rdfs:Literal,—,SEMANTIC-TRANSFORM,"Same concept, different property and range/model",Map value to healthdcatap:populationCoverage on the Dataset; retain the EJP registry-level concept if needed,P1,EJP value is a coded National/International/Regional concept; R7 accepts literal population definitions. Consider preserving the code as an additional value.
ejp:Biobank,ejp:populationCoverage,Population coverage,0..*,sio:SIO_001166,dcat:Dataset,http://healthdataportal.eu/ns/health#populationCoverage,Population coverage,0..*,rdfs:Literal,—,SEMANTIC-TRANSFORM,"Same concept, different property and range/model",Map to healthdcatap:populationCoverage on related Dataset; keep Biobank domain concept,P1,EJP controlled values are National/International/Regional.
ejp:Biobank,dcat:theme,Theme,1..*,IRI,dcat:Dataset,http://www.w3.org/ns/dcat#theme,Theme,0..*,skos:Concept,EU Dataset Theme vocabulary,DIRECT-SAME-URI+CONSTRAINT,Same URI but domain class is not the R7 Dataset,Keep on domain resource where used; duplicate/migrate to Dataset as appropriate,P2,
ejp:Guideline,dct:title,Title,1,xsd:string,dcat:Dataset,http://purl.org/dc/terms/title,Dataset title,1..*,rdfs:Literal,—,EJP-DOMAIN-RETAIN,Guideline is a distinct EJP resource type and not a health dataset by definition,Do not force Guideline into HealthDCAT Dataset; only apply HealthDCAT where the resource describes a dataset,P2,This keeps domain semantics intact.
foaf:Organisation,dct:title,Organisation title,1,xsd:string,foaf:Agent / Organisation,http://xmlns.com/foaf/0.1/name,Agent name,1..*,rdfs:Literal,—,SEMANTIC-TRANSFORM,EJP uses dct:title; R7 Agent model uses name,Add foaf:name; retain dct:title only if needed for backward compatibility,P1,
foaf:Organisation,dct:description,Organisation description,0..*,xsd:string,foaf:Agent / Organisation,http://purl.org/dc/terms/description,Description,0..*,rdfs:Literal,—,DIRECT-SAME-URI,No material change,Keep,P2,
foaf:Organisation,dct:spatial,Organisation location,0..*,EJP locationShape,foaf:Agent,http://purl.org/dc/terms/spatial,Geographical location,0..*,dct:Location,EU country/location vocabulary in Health-RI; R7 DCAT-AP location vocab,DIRECT-SAME-URI+CONSTRAINT,Target range is typed Location,Retain property; type target as dct:Location and align country/location vocabularies,P1,
foaf:Organisation,foaf:page,Organisation page,1,IRI,foaf:Agent,http://xmlns.com/foaf/0.1/homepage,Homepage,1,IRI,—,SEMANTIC-TRANSFORM,Property changes from foaf:page to foaf:homepage in the Agent pattern,Add foaf:homepage; retain foaf:page for backward compatibility if needed,P2,
dcat:Distribution,dct:title,Distribution title,1,xsd:string,dcat:Distribution,http://purl.org/dc/terms/title,Title,0..*,rdfs:Literal,—,DIRECT-SAME-URI+CONSTRAINT,EJP min 1 vs R7 min 0,Keep; optionally relax minimum,P2,
dcat:Distribution,dct:description,Distribution description,0..*,xsd:string,dcat:Distribution,http://purl.org/dc/terms/description,Description,0..*,rdfs:Literal,—,DIRECT-SAME-URI,No material change,Keep,P2,
dcat:Distribution,dcat:downloadURL,Download URL,choice with dcat:accessURL,IRI,dcat:Distribution,http://www.w3.org/ns/dcat#downloadURL,Download URL,0..*,rdfs:Resource,—,DIRECT-SAME-URI+CONSTRAINT,R7 allows 0..*; EJP requires one of download/access,Keep; model downloadURL as optional and make accessURL explicit/mandatory per R7 Distribution,P1,For non-download access routes use dcat:accessURL.
dcat:Distribution,dcat:accessURL,Access URL,choice with dcat:downloadURL,IRI,dcat:Distribution,http://www.w3.org/ns/dcat#accessURL,Access URL,1..*,rdfs:Resource,—,DIRECT-SAME-URI+CONSTRAINT,EJP treats access/download as alternatives; R7 requires accessURL,Make dcat:accessURL mandatory; permit dcat:downloadURL additionally,P0,
dcat:Distribution,dcat:mediaType,Media type,0..*,xsd:string,dcat:Distribution,http://www.w3.org/ns/dcat#mediaType,Media type,0..1,dct:MediaType,IANA Media Types,DIRECT-SAME-URI+CONSTRAINT,EJP max unlimited strings vs R7 max 1 typed MediaType,Use one dcat:mediaType value per distribution and align URI/vocabulary to IANA,P1,
dcat:Distribution,dct:license,License,1,IRI,dcat:Distribution,http://purl.org/dc/terms/license,License,0..1,dct:LicenseDocument,—,DIRECT-SAME-URI+CONSTRAINT,EJP min 1 vs R7 0..1; range more specific,Retain property and type licence resource,P1,
dcat:Distribution,dct:hasVersion,Version,1,xsd:string,dcat:Distribution,http://www.w3.org/ns/dcat#version,Version,0..1,rdfs:Literal,—,REPLACE-URI,DCAT 2→3 property migration,Replace with dcat:version,P0,
dcat:Distribution,dct:publisher,Publisher,1,EJP organisationShape,dcat:Distribution,http://purl.org/dc/terms/publisher,Publisher,0..1,foaf:Agent / Agent,—,DIRECT-SAME-URI+CONSTRAINT,EJP min 1 vs R7 0..1,Keep; map publisher to Agent,P1,
dcat:Distribution,dct:isPartOf,Part of dataset,0..*,IRI,dcat:Distribution,http://purl.org/dc/terms/isPartOf,Part of,not a principal R7 Distribution field,Resource,—,DIRECT-SAME-URI,No explicit R7 issue identified,Keep if needed for EJP relationships,P2,Validate against DCAT-AP semantics rather than using as a substitute for dcat:distribution.
dcat:DataService,dct:title,Title,1,xsd:string,dcat:DataService,http://purl.org/dc/terms/title,Title,1..*,rdfs:Literal,—,DIRECT-SAME-URI+CONSTRAINT,EJP min 1; R7 permits multiple,Keep; allow multilingual/multiple titles if needed,P2,
dcat:DataService,dct:description,Description,0..*,xsd:string,dcat:DataService,http://purl.org/dc/terms/description,Description,0..*,rdfs:Literal,—,DIRECT-SAME-URI,No material change,Keep,P2,
dcat:DataService,dcat:endpointURL,Endpoint URL,1,IRI,dcat:DataService,http://www.w3.org/ns/dcat#endpointURL,Endpoint URL,1..*,rdfs:Resource,—,DIRECT-SAME-URI+CONSTRAINT,R7 permits multiple endpoints; EJP only one,Relax to 1..* and use RDF resources/IRIs,P1,
dcat:DataService,dcat:servesDataset,Serves dataset,1,IRI,dcat:DataService,http://www.w3.org/ns/dcat#servesDataset,Serves dataset,0..*,dcat:Dataset,—,DIRECT-SAME-URI+CONSTRAINT,EJP min 1; R7 allows zero/multiple,Keep; type target as dcat:Dataset,P2,
dcat:DataService,dct:license,License,1,IRI,dcat:DataService,http://purl.org/dc/terms/license,License,0..1,dct:LicenseDocument,—,DIRECT-SAME-URI+CONSTRAINT,EJP min 1 vs R7 0..1,Keep; type target as dct:LicenseDocument,P1,
dcat:DataService,dct:hasVersion,Version,1,xsd:string,dcat:DataService,http://www.w3.org/ns/dcat#version,Version,not principal R7 DataService field,Literal,—,REPLACE-URI,DCAT 2→3 migration,Replace with dcat:version only if DataService versioning is still required; otherwise remove,P1,
dcat:DataService,dct:publisher,Publisher,1,EJP organisationShape,dcat:DataService,http://purl.org/dc/terms/publisher,Publisher,0..1,foaf:Agent / Agent,—,DIRECT-SAME-URI+CONSTRAINT,EJP min 1 vs R7 0..1,Keep; map publisher to Agent,P1,
dcat:DataService,dct:conformsTo,Conforms to,1,IRI,dcat:DataService,http://purl.org/dc/terms/conformsTo,Conforms to,0..*,dct:Standard,Standard NAL where R7 applies,DIRECT-SAME-URI+CONSTRAINT,EJP min 1; R7 multiple/optional,Keep and align range/value semantics to Standard,P2,
dcat:DataService,—,—,—,—,dcat:DataService,http://www.w3.org/ns/dcat#contactPoint,Contact point,0..*,vcard:Kind,—,ADD,No EJP equivalent,Add contact point and provide email/form URL as appropriate,P1,
dcat:DataService,—,—,—,—,dcat:DataService,http://data.europa.eu/r5r/applicableLegislation,Applicable legislation,0..*,eli:LegalResource,EHDS / legal resource,ADD,No EJP equivalent,Add when legal context applies,P1,
dcat:Dataset,dct:accessRights,Access rights,—,—,dcat:Dataset,http://purl.org/dc/terms/accessRights,Access rights,1,dct:RightsStatement,Access Rights NAL: PUBLIC / RESTRICTED / NON_PUBLIC,ADD,No EJP equivalent,Add as core conformance field; validate vocabulary URI,P0,NAL = Named Authority List. R7 uses a controlled access-rights vocabulary.
dcat:Dataset,dcatap:applicableLegislation,Applicable legislation,—,—,dcat:Dataset,http://data.europa.eu/r5r/applicableLegislation,Applicable legislation,1..*,eli:LegalResource,EHDS legal resource / ELI,ADD,No EJP equivalent,Add; include applicable EHDS legislation where required,P0,Health-RI v2 also makes this mandatory and requires EHDS ELI inclusion.
dcat:Dataset,dcat:contactPoint,Contact point,—,—,dcat:Dataset,http://www.w3.org/ns/dcat#contactPoint,Contact point,0..*,vcard:Kind,—,ADD,No EJP equivalent,Add; define email or contact form according to R7 Kind requirements,P1,
dcat:Dataset,dct:creator,Creator,—,—,dcat:Dataset,http://purl.org/dc/terms/creator,Creator,0..*,foaf:Agent / Agent,—,ADD,No EJP equivalent,Add when known; link to Agent,P2,
dcat:Dataset,dct:identifier,Identifier,—,—,dcat:Dataset,http://purl.org/dc/terms/identifier,Identifier,1..*,rdfs:Literal,—,ADD,No EJP equivalent in Dataset ShEx,Make dataset identifier explicit,P0,
dcat:Dataset,dct:issued,Release date,—,—,dcat:Dataset,http://purl.org/dc/terms/issued,Release date,0..1,Temporal Literal,—,ADD,No EJP equivalent,Add where release date is known,P1,
dcat:Dataset,dct:modified,Modification date,—,—,dcat:Dataset,http://purl.org/dc/terms/modified,Modification date,0..1,Temporal Literal,—,ADD,No EJP equivalent,Add,P1,
dcat:Dataset,dcat:hasVersion,Has version,—,—,dcat:Dataset,http://www.w3.org/ns/dcat#hasVersion,Has version,0..*,dcat:Dataset,—,ADD,No EJP equivalent; distinct from version literal,Add to link a dataset to its versioned datasets,P2,
dcat:Dataset,dcat:isVersionOf,Is version of,—,—,dcat:Dataset,http://www.w3.org/ns/dcat#isVersionOf,Is version of,0..*,dcat:Dataset,—,ADD,No EJP equivalent,Add inverse/version lineage if version lineage is needed,P2,
dcat:Dataset,healthdcatap:healthCategory,Health category,—,—,dcat:Dataset,http://healthdataportal.eu/ns/health#healthCategory,Health category,1..*,skos:Concept,Health Categories NAL (EHDS),ADD,No EJP equivalent,Add mandatory health-category concept(s),P0,
dcat:Dataset,healthdcatap:hdab,Health Data Access Body,—,—,dcat:Dataset,http://healthdataportal.eu/ns/health#hdab,Health Data Access Body,1,foaf:Agent / Agent,HDAB / authorised body registry where applicable,ADD,No EJP equivalent,Add HDAB Agent; for non-public data also model required access distribution/service,P0,R7 renders the property CURIE as healthdcatap:hdab; earlier draft/other implementations may call the concept healthDataAccessBody.
dcat:Dataset,healthdcatap:hasStructuredData,Structured data,—,—,dcat:Dataset,http://healthdataportal.eu/ns/health#hasStructuredData,Structured data,1,xsd:boolean,—,ADD,No EJP equivalent,Add mandatory boolean,P0,This is a Release 7 change.
dcat:Dataset,healthdcatap:hasVariables,Variables,—,—,dcat:Dataset,http://healthdataportal.eu/ns/health#hasVariables,Variables,0..*,csvw:TableGroup,CSVW W3C vocabulary,ADD,No EJP equivalent,Add conditionally when hasStructuredData=true; implement TableGroup/Table/Column model,P0,Release 7 moved variables to Dataset and linked them to CSVW TableGroup.
dcat:Dataset,healthdcatap:analytics,Analytics,—,—,dcat:Dataset,http://healthdataportal.eu/ns/health#analytics,Analytics,0..*,dcat:Distribution,—,ADD,No EJP equivalent,Add where analytics/quality resource is exposed,P2,
dcat:Dataset,healthdcatap:hasCodeValues,Code values,—,—,dcat:Dataset,http://healthdataportal.eu/ns/health#hasCodeValues,Code values,0..*,Literal,Domain/coding value URIs; see R7 vocab guidance,ADD,No EJP equivalent,Add values used to describe classifications/codes; keep semantics distinct from coding system,P1,Health-RI v2 models this as skos:Concept; R7 range is Literal—this is a real cross-profile range mismatch to resolve.
dcat:Dataset,healthdcatap:hasCodingSystem,Coding system,—,—,dcat:Dataset,http://healthdataportal.eu/ns/health#hasCodingSystem,Coding system,0..*,dct:Standard,Coding System NAL; Health-RI usage notes use Wikidata URIs,ADD,No EJP equivalent,Add terminology/coding systems used in the dataset,P1,
dcat:Dataset,healthdcatap:healthTheme,Health theme,—,—,dcat:Dataset,http://healthdataportal.eu/ns/health#healthTheme,Health theme,0..*,skos:Concept,Health Theme NAL; Health-RI notes currently reference Wikidata,ADD,No EJP equivalent,Add disease/health-domain concepts,P1,
dcat:Dataset,healthdcatap:numberOfRecords,Number of records,—,—,dcat:Dataset,http://healthdataportal.eu/ns/health#numberOfRecords,Number of records,0..1,xsd:nonNegativeInteger,—,ADD,No EJP equivalent,Add where known,P1,
dcat:Dataset,healthdcatap:numberOfUniqueIndividuals,Number of unique individuals,—,—,dcat:Dataset,http://healthdataportal.eu/ns/health#numberOfUniqueIndividuals,Number of unique individuals,0..1,xsd:nonNegativeInteger,—,ADD,No EJP equivalent,Add where privacy-safe and known,P1,
dcat:Dataset,healthdcatap:populationCoverage,Population coverage,—,—,dcat:Dataset,http://healthdataportal.eu/ns/health#populationCoverage,Population coverage,0..*,rdfs:Literal,—,ADD,EJP has a related but differently modelled registry/biobank property,Add at Dataset level; decide how to preserve EJP coded scope values,P1,
dcat:Dataset,healthdcatap:minTypicalAge,Minimum typical age,—,—,dcat:Dataset,http://healthdataportal.eu/ns/health#minTypicalAge,Minimum typical age,0..1,xsd:nonNegativeInteger,—,ADD,No EJP equivalent,Add where applicable,P2,
dcat:Dataset,healthdcatap:maxTypicalAge,Maximum typical age,—,—,dcat:Dataset,http://healthdataportal.eu/ns/health#maxTypicalAge,Maximum typical age,0..1,xsd:nonNegativeInteger,—,ADD,No EJP equivalent,Add where applicable,P2,
dcat:Dataset,healthdcatap:personalData,Personal data,—,—,dcat:Dataset,http://healthdataportal.eu/ns/health#personalData,Personal data,0..1,Personal Data,R7 Personal Data vocabulary/DPV alignment,ADD,No EJP equivalent,Add explicit personal-data indication,P0,
dcat:Dataset,healthdcatap:retentionPeriod,Retention period,—,—,dcat:Dataset,http://healthdataportal.eu/ns/health#retentionPeriod,Retention period,0..1,dct:PeriodOfTime,—,ADD,No EJP equivalent,Add where retention is known/required,P1,
dcat:Dataset,dct:temporal,Temporal coverage,—,—,dcat:Dataset,http://purl.org/dc/terms/temporal,Temporal coverage,0..*,dct:PeriodOfTime,—,ADD,No EJP equivalent in EJP Dataset ShEx,Add period(s) covered by the dataset,P1,
dcat:Dataset,dcat:temporalResolution,Temporal resolution,—,—,dcat:Dataset,http://www.w3.org/ns/dcat#temporalResolution,Temporal resolution,0..1,xsd:duration,—,ADD,No EJP equivalent,Add where useful,P2,
dcat:Dataset,dcat:spatialResolutionInMeters,Spatial resolution,—,—,dcat:Dataset,http://www.w3.org/ns/dcat#spatialResolutionInMeters,Spatial resolution,0..*,xsd:decimal,—,ADD,No EJP equivalent,Add for geospatial datasets,P3,
dcat:Dataset,dct:accrualPeriodicity,Frequency,—,—,dcat:Dataset,http://purl.org/dc/terms/accrualPeriodicity,Frequency,0..1,dct:Frequency,EU Vocabularies Frequency NAL,ADD,No EJP equivalent,Add update/accrual frequency,P1,
dcat:Dataset,dct:language,Language,—,—,dcat:Dataset,http://purl.org/dc/terms/language,Language,0..*,dct:LinguisticSystem,EU Languages NAL,ADD,No EJP equivalent,Add language(s),P1,
dcat:Dataset,dct:conformsTo,Conforms to,—,—,dcat:Dataset,http://purl.org/dc/terms/conformsTo,Conforms to,0..*,dct:Standard,Standard NAL,ADD,No EJP equivalent in Dataset ShEx,Add standards/profiles the dataset conforms to,P1,
dcat:Dataset,dct:provenance,Provenance,—,—,dcat:Dataset,http://purl.org/dc/terms/provenance,Provenance,0..*,dct:ProvenanceStatement,—,ADD,No EJP equivalent,Add lineage/provenance statement where available,P2,
dcat:Dataset,prov:wasGeneratedBy,Was generated by,—,—,dcat:Dataset,http://www.w3.org/ns/prov#wasGeneratedBy,Was generated by,0..*,prov:Activity,Health Activity NAL,ADD,No EJP equivalent,Add data generation/production activity,P2,
dcat:Dataset,dpv:hasPurpose,Purpose,—,—,dcat:Dataset,https://w3id.org/dpv#hasPurpose,Purpose,0..*,dpv:Purpose,DPV vocabulary,ADD,No EJP equivalent,Add purposes for processing/use,P1,
dcat:Dataset,dpv:hasLegalBasis,Legal basis,—,—,dcat:Dataset,https://w3id.org/dpv#hasLegalBasis,Legal basis,0..*,dpv:LegalBasis,DPV vocabulary,ADD,No EJP equivalent,Add legal basis where applicable,P1,
dcat:Dataset,dqv:hasQualityAnnotation,Quality annotation,—,—,dcat:Dataset,http://www.w3.org/ns/dqv#hasQualityAnnotation,Quality annotation,0..*,dqv:QualityCertificate,—,ADD,No EJP equivalent,Add quality certificate/annotation where available,P2,
dcat:Dataset,dct:isReferencedBy,Is referenced by,—,—,dcat:Dataset,http://purl.org/dc/terms/isReferencedBy,Is referenced by,0..*,Resource,—,ADD,No EJP equivalent,Add links to publications/resources referencing dataset,P2,
dcat:Dataset,dcat:qualifiedAttribution,Qualified attribution,—,—,dcat:Dataset,http://www.w3.org/ns/prov#qualifiedAttribution,Qualified attribution,0..*,prov:Attribution,—,ADD,No EJP equivalent,Use where role/responsibility needs qualification,P2,
dcat:Dataset,dct:type,Dataset type,—,—,dcat:Dataset,http://purl.org/dc/terms/type,Type,0..*,skos:Concept,EU dataset type vocabulary; exception noted in Health-RI for personal_data,ADD,No EJP equivalent,Add where dataset type is required/useful,P2,
dcat:Dataset,adms:versionNotes,Version notes,—,—,dcat:Dataset,http://www.w3.org/ns/adms#versionNotes,Version notes,0..*,rdfs:Literal,—,ADD,No EJP equivalent,Add version notes where relevant,P2,
dcat:Dataset,adms:identifier,Other identifier,—,—,dcat:Dataset,http://www.w3.org/ns/adms#identifier,Other identifier,0..*,adms:Identifier,Identifier schemes,ADD,No EJP equivalent,Add DOI/DataCite/etc. as secondary identifiers,P2,
dcat:Dataset,adms:sample,Sample,—,—,dcat:Dataset,http://www.w3.org/ns/adms#sample,Sample,0..*,dcat:Distribution,—,ADD,No EJP equivalent,Add samples where available; distinguish sample distribution from variable dictionary,P2,
dcat:Dataset,dct:source,Source,—,—,dcat:Dataset,http://purl.org/dc/terms/source,Source,0..*,dcat:Dataset,—,ADD,No EJP equivalent,Add source datasets when derived,P2,
dcat:Dataset,dcat:inSeries,In series,—,—,dcat:Dataset,http://www.w3.org/ns/dcat#inSeries,In series,0..*,dcat:DatasetSeries,—,ADD,No EJP equivalent,Add where versioned/periodic dataset series are represented,P2,
dcat:Dataset,dct:alternative,Alternative title,—,—,dcat:Dataset,http://purl.org/dc/terms/alternative,Alternative,0..1,rdfs:Literal,—,ADD,No EJP equivalent,Add alternate names,P3,
dcat:Dataset,dct:relation,Related resource,—,—,dcat:Dataset,http://purl.org/dc/terms/relation,Related resource,0..*,Resource,—,ADD,No EJP equivalent,Add generic related resources where useful,P2,
csvw:TableGroup,csvw:table,Table(s),—,—,csvw:TableGroup,http://www.w3.org/ns/csvw#table,Table,1..*,csvw:Table,CSVW,ADD,No EJP equivalent,Implement table group with at least one table when variables are described,P0,
csvw:Table,csvw:column,Column(s),—,—,csvw:Table,http://www.w3.org/ns/csvw#column,Column,1..*,csvw:Column,CSVW,ADD,No EJP equivalent,Implement variable/column metadata,P0,
csvw:Column,csvw:name,Variable name,—,—,csvw:Column,http://www.w3.org/ns/csvw#name,Name,1..*,Literal,CSVW,ADD,No EJP equivalent,Add variable name,P0,
csvw:Column,dct:title,Variable title,—,—,csvw:Column,http://purl.org/dc/terms/title,Title,1..*,Literal,—,ADD,No EJP equivalent,Add human-readable variable title,P0,
csvw:Column,dct:description,Variable description,—,—,csvw:Column,http://purl.org/dc/terms/description,Description,1..*,Literal,—,ADD,No EJP equivalent,Add variable definition,P0,
csvw:Column,csvw:datatype,Variable datatype,—,—,csvw:Column,http://www.w3.org/ns/csvw#datatype,Datatype,1,IRI / datatype,CSVW,ADD,No EJP equivalent,Add datatype,P0,
csvw:Column,csvw:propertyUrl,Variable property URL,—,—,csvw:Column,http://www.w3.org/ns/csvw#propertyUrl,Property URL,0..1,IRI,CSVW,ADD,No EJP equivalent,Add semantic mapping to domain property where possible,P1,
dcat:Distribution,dcat:accessService,Access service,—,—,dcat:Distribution,http://www.w3.org/ns/dcat#accessService,Access service,0..*,dcat:DataService,—,ADD,No EJP equivalent,Link distribution to access Data Service,P1,
dcat:Distribution,dcatap:applicableLegislation,Applicable legislation,—,—,dcat:Distribution,http://data.europa.eu/r5r/applicableLegislation,Applicable legislation,1..*,eli:LegalResource,EHDS / legal resource,ADD,No EJP equivalent,Add distribution-level legislation where required by R7,P0,
dcat:Distribution,dcatap:availability,Availability,—,—,dcat:Distribution,http://data.europa.eu/r5r/availability,Availability,0..1,skos:Concept,EU Distribution Availability NAL,ADD,No EJP equivalent,Add availability status using current EU vocabulary,P1,
dcat:Distribution,dcat:byteSize,Byte size,—,—,dcat:Distribution,http://www.w3.org/ns/dcat#byteSize,Byte size,0..1,xsd:nonNegativeInteger,—,ADD,No EJP equivalent,Add where known,P2,
dcat:Distribution,spdx:checksum,Checksum,—,—,dcat:Distribution,http://spdx.org/rdf/terms#checksum,Checksum,0..1,spdx:Checksum,—,ADD,No EJP equivalent,Add checksum where integrity validation is available,P2,
dcat:Distribution,dcat:compressionFormat,Compression format,—,—,dcat:Distribution,http://www.w3.org/ns/dcat#compressionFormat,Compression format,0..1,Media Type,IANA Media Types,ADD,No EJP equivalent,Add for compressed distributions,P3,
